Frequency (MHz),CISPR11_RE_CLASS_B_Group_1,CISPR11_RE_CLASS_B_Group_1_Important,CISPR11_RE_CLASS_A_Group_1_up_to_20kVA]
30,40,,50
30.06000247,40,,50
30.12000495,40,,50
30.18000742,40,,50
30.2400099,40,,50
30.30001237,40,,50
30.36001485,40,,50
30.42001732,40,,50
30.48001979,40,,50
30.54002227,40,,50
30.60002474,40,,50
30.66002722,40,,50
30.72002969,40,,50
30.78003217,40,,50
30.84003464,40,,50
30.90003711,40,,50
30.96003959,40,,50
31.02004206,40,,50
31.08004454,40,,50
31.14004701,40,,50
31.20004949,40,,50
31.26005196,40,,50
31.32005444,40,,50
31.38005691,40,,50
31.44005938,40,,50
31.50006186,40,,50
31.56006433,40,,50
31.62006681,40,,50
31.68006928,40,,50
31.74007176,40,,50
31.80007423,40,,50
31.8600767,40,,50
31.92007918,40,,50
31.98008165,40,,50
32.04008413,40,,50
32.1000866,40,,50
32.16008908,40,,50
32.22009155,40,,50
32.28009402,40,,50
32.3400965,40,,50
32.40009897,40,,50
32.46010145,40,,50
32.52010392,40,,50
32.5801064,40,,50
32.64010887,40,,50
32.70011134,40,,50
32.76011382,40,,50
32.82011629,40,,50
32.88011877,40,,50
32.94012124,40,,50
33.00012372,40,,50
33.06012619,40,,50
33.12012867,40,,50
33.18013114,40,,50
33.24013361,40,,50
33.30013609,40,,50
33.36013856,40,,50
33.42014104,40,,50
33.48014351,40,,50
33.54014599,40,,50
33.60014846,40,,50
33.66015093,40,,50
33.72015341,40,,50
33.78015588,40,,50
33.84015836,40,,50
33.90016083,40,,50
33.96016331,40,,50
34.02016578,40,,50
34.08016825,40,,50
34.14017073,40,,50
34.2001732,40,,50
34.26017568,40,,50
34.32017815,40,,50
34.38018063,40,,50
34.4401831,40,,50
34.50018557,40,,50
34.56018805,40,,50
34.62019052,40,,50
34.680193,40,,50
34.74019547,40,,50
34.80019795,40,,50
34.86020042,40,,50
34.92020289,40,,50
34.98020537,40,,50
35.04020784,40,,50
35.10021032,40,,50
35.16021279,40,,50
35.22021527,40,,50
35.28021774,40,,50
35.34022022,40,,50
35.40022269,40,,50
35.46022516,40,,50
35.52022764,40,,50
35.58023011,40,,50
35.64023259,40,,50
35.70023506,40,,50
35.76023754,40,,50
35.82024001,40,,50
35.88024248,40,,50
35.94024496,40,,50
36.00024743,40,,50
36.06024991,40,,50
36.12025238,40,,50
36.18025486,40,,50
36.24025733,40,,50
36.3002598,40,,50
36.36026228,40,,50
36.42026475,40,,50
36.48026723,40,,50
36.5402697,40,,50
36.60027218,40,,50
36.66027465,40,,50
36.72027712,40,,50
36.7802796,40,,50
36.84028207,40,,50
36.90028455,40,,50
36.96028702,40,,50
37.0202895,40,,50
37.08029197,40,,50
37.14029445,40,,50
37.20029692,40,,50
37.26029939,40,,50
37.32030187,40,,50
37.38030434,40,,50
37.44030682,40,,50
37.50030929,40,,50
37.56031177,40,,50
37.62031424,40,,50
37.68031671,40,,50
37.74031919,40,,50
37.80032166,40,,50
37.86032414,40,,50
37.92032661,40,,50
37.98032909,40,,50
38.04033156,40,,50
38.10033403,40,,50
38.16033651,40,,50
38.22033898,40,,50
38.28034146,40,,50
38.34034393,40,,50
38.40034641,40,,50
38.46034888,40,,50
38.52035135,40,,50
38.58035383,40,,50
38.6403563,40,,50
38.70035878,40,,50
38.76036125,40,,50
38.82036373,40,,50
38.8803662,40,,50
38.94036867,40,,50
39.00037115,40,,50
39.06037362,40,,50
39.1203761,40,,50
39.18037857,40,,50
39.24038105,40,,50
39.30038352,40,,50
39.360386,40,,50
39.42038847,40,,50
39.48039094,40,,50
39.54039342,40,,50
39.60039589,40,,50
39.66039837,40,,50
39.72040084,40,,50
39.78040332,40,,50
39.84040579,40,,50
39.90040826,40,,50
39.96041074,40,,50
40.02041321,40,,50
40.08041569,40,,50
40.14041816,40,,50
40.20042064,40,,50
